species,closeness,guild
Cecropia concolor,0,plant
Cecropia purpureascens,0,plant
Cordia nodosa,0,plant
Duroia saccifera,0.214285714,plant
Hirtella duckei,0.214285714,plant
Hirtella myrmecophila,0.214285714,plant
Hirtella physophora,0.214285714,plant
Maieta guianensis,0.071428571,plant
Maieta poeppigii,0.071428571,plant
Tachigali myrmecophyla,0,plant
Tachigali polyphylla,0,plant
Allomerus octoarticulatus,0.035714286,ant
Allomerus septemarticulatus,0.035714286,ant
Azteca sp1,0,ant
Azteca sp5,0.107142857,ant
Camponotus balzanii,0,ant
Crematogaster erecta,0.107142857,ant
Crematogaster flavosensitiva,0.035714286,ant
Myrmelachysta flavocotea,0.107142857,ant
Pachycondyla unidentata,0.107142857,ant
Pheidole minutula,0.035714286,ant
Pseudomyrmex concolor,0.107142857,ant
Pseudomyrmex nigrescens,0.107142857,ant
Pseudomyrmex sp1,0,ant
Solenopsis sp1,0.107142857,ant
Solenopsis sp4,0.107142857,ant